,count,mean,std,min,25%,50%,75%,max,variance,null_count,null_pct
userId,763144.0,-1.1917733766797987e-17,1.0000006551849867,-0.06090977793978181,-0.06090977793978181,-0.06090977793978181,-0.06090977793978181,26.665230439246347,1.0000013103704026,0,0.0
mountNamespace,763144.0,-5.730624548176967e-10,1.0000006551849865,-0.5871015094512491,-0.5871015094512491,-0.5871015094512491,1.699092768652361,2.1296492507355342,1.0000013103704022,0,0.0
eventId,763144.0,-3.8136748053753555e-17,1.0000006551849865,-0.7404465750847075,-0.7404465750847075,-0.5872465879334526,-0.08090764734879698,1.8743396462934887,1.0000013103704022,0,0.0
argsNum,763144.0,3.8136748053753555e-17,1.0000006551849867,-1.992744269102566,-1.246979503262517,0.24455002841758108,0.9903147942576301,1.7360795600976793,1.0000013103704026,0,0.0
returnValue,763144.0,3.575320130039396e-18,1.0000006551849865,-0.41595228831374864,-0.05499409602154663,-0.05499409602154663,-0.042439028463556995,25.962244651022477,1.0000013103704024,0,0.0
sus,763144.0,4.767093506719194e-18,1.0000006551849867,-0.04081210070036462,-0.04081210070036462,-0.04081210070036462,-0.04081210070036462,24.502536817250036,1.0000013103704026,0,0.0
evil,763144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
processId_flag,763144.0,-6.197221558734952e-17,1.0000006551849865,-0.1478167842097195,-0.1478167842097195,-0.1478167842097195,-0.1478167842097195,6.765131614426275,1.0000013103704022,0,0.0
parentProcessId_flag,763144.0,7.627349610750711e-17,1.0000006551849863,-0.34114040445628435,-0.34114040445628435,-0.34114040445628435,-0.34114040445628435,2.9313443583260606,1.000001310370402,0,0.0
userId_flag,763144.0,-6.26872796133574e-16,1.0000006551849865,-27.662408343117292,0.03615014237358669,0.03615014237358669,0.03615014237358669,0.03615014237358669,1.0000013103704022,0,0.0
mountNamespace_flag,763144.0,1.1441024416126068e-16,1.0000006551849867,-1.7031139100229247,-1.7031139100229247,0.5871597866208137,0.5871597866208137,0.5871597866208137,1.0000013103704026,0,0.0
returnValue_flag,763144.0,-6.673930909406872e-17,1.0000006551849865,-2.51109817482375,-0.5014064295789623,-0.5014064295789623,1.5082853156658254,1.5082853156658254,1.0000013103704024,0,0.0
log_timeSinceBoot,763144.0,1.4682648000695119e-15,1.0000006551849865,-2.5375710865438137,-0.4473528005248044,0.32322147508384014,0.7731291369523277,1.1655183110888587,1.0000013103704024,0,0.0
log_processId,763144.0,-1.1917733766797985e-16,1.0000006551849867,-5.566556155788577,0.25709315190426685,0.2621218732671576,0.26692381549335586,0.37371292649161525,1.0000013103704026,0,0.0
log_parentProcessId,763144.0,2.860256104031517e-17,1.0000006551849865,-2.772448988131564,-0.4889321098616267,0.3822437989964294,0.4580117605194523,1.128504327160528,1.0000013103704022,0,0.0
